b6-60
 & denied & e_i & l_i & e_{n+i} & l_{n+i} & departure & arrival & regret & waiting_time & ride_time & transportation time & km_gebucht & km_gefahren & Sitze
28 & 0 & 366 & 416.63 & 415 & 430 & 409.27 & 428.53 & 13.53 & 43.27 & 15.26 & 62.53 & 9.37 & 14.26 & 4
29 & 0 & 534 & 586.46 & 583 & 598 & 568.14 & 583.01 & 0.0100002 & 34.14 & 10.87 & 49.01 & 7.54 & 8.87 & 4
30 & 0 & 509 & 565.64 & 556 & 571 & 531.86 & 556 & 0 & 22.86 & 3.36 & 47 & 3.36 & 3.36 & 2
31 & 0 & 273 & 288 & 293.59 & 334 & 273 & 319 & 25.41 & 1e-07 & 29.57 & 46 & 19.59 & 25.57 & 1
32 & 0 & 285 & 300 & 306.67 & 347 & 285 & 310.13 & 3.46 & -5.68434e-14 & 23.13 & 25.13 & 19.67 & 20.13 & 2
33 & 0 & 429 & 444 & 433.01 & 490 & 429 & 433.01 & 2.00001e-07 & -1.13687e-13 & 3.01 & 4.01 & 3.01 & 3.01 & 1
34 & 0 & 489 & 504 & 502.7 & 554 & 489 & 502.7 & 1e-07 & -1.13687e-13 & 8.7 & 13.7 & 8.7 & 8.7 & 5
35 & 0 & 103 & 118 & 123.61 & 167 & 103 & 139.18 & 15.57 & -2.84217e-14 & 32.18 & 36.18 & 16.61 & 29.18 & 4
36 & 0 & 495 & 510 & 508.4 & 556 & 501.86 & 515.26 & 6.86 & 6.86 & 12.4 & 20.26 & 12.4 & 12.4 & 1
37 & 0 & 89 & 104 & 105.22 & 150 & 89 & 120.83 & 15.61 & -2.84217e-14 & 23.17 & 31.83 & 15.22 & 19.17 & 1
38 & 0 & 467 & 482 & 487.29 & 532 & 467 & 487.29 & 1e-07 & -1.13687e-13 & 15.29 & 20.29 & 15.29 & 15.29 & 5
39 & 0 & 56 & 71 & 61.18 & 118 & 59.24 & 64.42 & 3.24 & 3.24 & 3.18 & 8.42 & 3.18 & 3.18 & 2
40 & 0 & 329 & 344 & 345.97 & 395 & 329 & 345.97 & 1e-07 & -5.68434e-14 & 10.97 & 16.97 & 10.97 & 10.97 & 6
41 & 0 & 493 & 508 & 508.87 & 556 & 493 & 517.45 & 8.58 & -1.13687e-13 & 21.45 & 24.45 & 12.87 & 16.45 & 3
42 & 0 & 81 & 96 & 101.25 & 144 & 81 & 101.25 & 0 & -2.84217e-14 & 17.25 & 20.25 & 17.25 & 17.25 & 3
43 & 0 & 276 & 291 & 284.41 & 339 & 276 & 294.49 & 10.08 & -5.68434e-14 & 11.58 & 18.49 & 5.41 & 9.58 & 3
44 & 0 & 277 & 292 & 291 & 341 & 277 & 291 & 1e-07 & -5.68434e-14 & 10 & 14 & 10 & 10 & 4
45 & 0 & 97 & 112 & 111.35 & 162 & 97 & 111.35 & 1e-07 & -2.84217e-14 & 9.35 & 14.35 & 9.35 & 9.35 & 5
46 & 0 & 390 & 405 & 406.89 & 452 & 390 & 428.26 & 21.37 & -1.13687e-13 & 36.26 & 38.26 & 14.89 & 32.26 & 2
47 & 0 & 135 & 150 & 142.85 & 197 & 137.32 & 148.91 & 6.06 & 2.32 & 9.59 & 13.91 & 5.85 & 6.59 & 2
48 & 0 & 514 & 529 & 523.95 & 576 & 529 & 574.24 & 50.29 & 15 & 23.05 & 60.24 & 7.95 & 16.05 & 2
49 & 0 & 379 & 394 & 380.57 & 440 & 379 & 380.57 & 1e-07 & -1.13687e-13 & 0.57 & 1.57 & 0.57 & 0.57 & 1
50 & 0 & 96 & 111 & 114.31 & 159 & 96 & 114.31 & 1e-07 & -2.84217e-14 & 15.31 & 18.31 & 15.31 & 15.31 & 3
51 & 0 & 313 & 328 & 323.37 & 379 & 313 & 323.37 & 0 & -5.68434e-14 & 4.37 & 10.37 & 4.37 & 4.37 & 6
52 & 0 & 100 & 115 & 124.55 & 166 & 106.44 & 130.99 & 6.44 & 6.44 & 18.55 & 30.99 & 18.55 & 18.55 & 6
53 & 0 & 403 & 418 & 414.24 & 464 & 403 & 421.38 & 7.14 & -1.13687e-13 & 17.38 & 18.38 & 10.24 & 13.38 & 1
54 & 0 & 365 & 380 & 383.07 & 427 & 374.46 & 418.46 & 35.39 & 9.46 & 34.79 & 53.46 & 16.07 & 30.79 & 2
55 & 0 & 181 & 196 & 204.88 & 247 & 181 & 204.88 & 1e-07 & -5.68434e-14 & 17.88 & 23.88 & 17.88 & 17.88 & 6
56 & 0 & 251 & 266 & 258.62 & 315 & 252.44 & 260.06 & 1.44 & 1.44 & 3.62 & 9.06 & 3.62 & 3.62 & 4
57 & 0 & 433 & 448 & 458.2 & 498 & 437.35 & 462.55 & 4.35 & 4.35 & 20.2 & 29.55 & 20.2 & 20.2 & 5
58 & 0 & 323 & 338 & 336.2 & 389 & 330.11 & 343.31 & 7.11 & 7.11 & 7.2 & 20.31 & 7.2 & 7.2 & 6
59 & 0 & 491 & 506 & 504.52 & 555 & 491 & 504.52 & 1e-07 & -1.13687e-13 & 9.52 & 13.52 & 9.52 & 9.52 & 4
60 & 0 & 454 & 469 & 468.68 & 517 & 456.33 & 496.63 & 27.95 & 2.33 & 14.7 & 42.63 & 11.68 & 11.7 & 3
