7 170 420 6 0
98 0.75 -1 32.350187999999996 67.350188 21.600188000000003
99 0.75 -1 31.596718 66.596718 10.846718
100 0.75 -1 34.598236 69.598236 13.848236
101 0.75 -1 36.347151999999994 71.347152 15.597152
102 0.75 -1 46.144853999999995 81.144854 20.394854
103 0.75 -1 37.423908 72.423908 11.673908
104 0.75 -1 42.197976 77.197976 16.447976
105 0.75 -1 54.55703999999999 91.41232 27.662319999999998
106 0.75 -1 45.72529599999999 80.725296 15.975296
107 0.75 -1 51.325036 86.325036 18.575036
108 0.75 -1 46.707516 81.707516 11.957516
109 0.75 -1 53.875989999999994 88.87599 18.12599
110 0.75 -2 55.52148 90.52148 17.77148
111 0.75 -1 55.307255999999995 90.307256 14.557255999999999
112 0.75 -1 52.707516 87.707516 11.957516
113 0.75 -1 53.596717999999996 88.596718 10.846718
114 0.75 -1 62.639649999999996 97.63965 17.88965
115 0.75 -1 66.536224 101.536224 15.786223999999999
116 0.75 -1 66.15808 101.15808 15.40808
117 0.75 -1 68.938002 103.938002 16.188001999999997
118 0.75 -1 76.64116800000001 111.641168 20.891168
119 0.75 -1 79.695808 114.695808 19.945808
120 0.75 -1 83.938002 118.938002 16.188001999999997
121 0.75 -1 105.101922 140.101922 13.351922
122 0.75 -2 115.21272 150.21272 14.462720000000001
123 0.75 -1 116.02364800000001 151.023648 14.273648
124 0.75 -1 123.223128 158.223128 19.473128000000003
125 0.75 -1 125.242208 160.242208 10.492208
126 0.75 -1 151.34867 186.34867 18.59867
127 0.75 -1 158.59086399999998 193.590864 14.840864
128 0.75 -1 186.19645799999998 221.196458 13.446458
129 0.75 -1 209.37663999999998 244.37664 11.62664
130 0.75 -2 248.99112399999999 283.991124 12.241124
131 0.75 -1 258.601272 293.601272 19.851272
132 0.75 -1 261.127074 296.127074 16.377074
133 0.75 -1 279.014758 314.01475800000003 12.264758
134 0.75 -1 285.95426399999997 320.954264 17.204264
135 0.75 -5 291.29402999999996 326.29403 19.54403
136 0.75 -1 302.923258 337.923258 18.173258
137 0.75 -1 309.672174 344.672174 19.922174000000002
138 0.75 -1 303.322 338.322 12.572
139 0.75 -1 307.27625 342.27625 15.52625
140 0.75 -1 305.487438 340.487438 12.737438000000001
141 0.75 -1 311.63965 346.63965 17.88965
142 0.75 -1 307.550968 342.550968 13.800968000000001
143 0.75 -1 310.236354 345.236354 14.486353999999999
144 0.75 -1 311.251098 346.251098 12.501097999999999
145 0.75 -1 313.425426 348.425426 14.675425999999998
146 0.75 -1 318.695808 353.695808 19.945808
147 0.75 -1 315.725296 350.725296 15.975296
148 0.75 -1 320.506736 355.506736 19.756736
149 0.75 -1 320.261506 355.261506 17.511505999999997
150 0.75 -1 321.426944 356.426944 17.676944
151 0.75 -1 324.552486 359.552486 16.802486000000002
152 0.75 -3 326.77993599999996 361.779936 15.029936
153 0.75 -1 330.79467999999997 365.79467999999997 13.04468
154 0.75 -1 332.078288 367.078288 13.328288
155 0.75 -1 335.378158 370.378158 14.628157999999999
156 0.75 -1 336.33089 371.33089 14.58089
157 0.75 -3 341.426944 376.426944 17.676944
158 0.75 -1 342.426944 377.426944 17.676944
159 0.75 -1 339.251098 374.251098 12.501097999999999
160 0.75 -1 345.898106 380.898106 15.148105999999999
161 0.75 -1 348.261506 383.261506 17.511505999999997
162 0.75 -1 348.127074 383.127074 16.377074
163 0.75 -1 351.76671 386.76671 20.016710000000003
164 0.75 -1 346.078288 381.078288 13.328288
165 0.75 -1 351.017794 386.017794 18.267794000000002
166 0.75 -1 355.277768 390.277768 18.527768000000002
167 0.75 -1 349.369268 384.369268 12.619268
168 0.75 -1 350.943856 385.943856 12.193856
169 0.75 -1 353.101922 388.101922 13.351922
170 0.75 -1 359.57612 394.57612 16.82612
171 0 0 0 420 420
